"gene" "label"
"IL12RB2" "None"
"SERBP1" "None"
"RP11-393N21.2" "PortHep"
"GADD45A" "None"
"GNG12" "LSECs"
"GNG12-AS1" "None"
"DIRAS3" "None"
"WLS" "None"
"DEPDC1" "gd_T_2"
"DEPDC1-AS1" "None"
"LRRC7" "None"
"LRRC40" "None"
"SRSF11" "None"
"ANKRD13C" "None"
"HHLA3" "None"
"CTH" "Hep"
"RP11-42O15.3" "None"
"PTGER3" "None"
"ZRANB2-AS1" "None"
"ZRANB2" "None"
"NEGR1" "None"
"LRRIQ3" "None"
"FPGT" "None"
"FPGT-TNNI3K" "None"
"ERICH3" "None"
"RP11-17E13.2" "None"
"CRYZ" "Hep"
"TYW3" "None"
"SLC44A5" "None"
"ACADM" "Hep"
"RABGGTB" "None"
"MSH4" "None"
"ST6GALNAC3" "None"
"RP5-1102E8.3" "None"
"PIGK" "None"
"AK5" "None"
"ZZZ3" "None"
"USP33" "None"
"FAM73A" "None"
"NEXN" "Stellate"
"FUBP1" "gd_T_2"
"DNAJB4" "None"
"GIPC2" "None"
"RP11-386I14.4" "None"
"PTGFR" "None"
"IFI44L" "None"
"IFI44" "None"
"ADGRL4" "CV_LSECs"
"RP5-887A10.1" "B_cells"
"ADGRL2" "None"
"RP11-475O6.1" "None"
"RP5-836J3.1" "None"
"TTLL7" "None"
"RP11-486G15.2" "None"
"PRKACB" "None"
"SAMD13" "None"
"DNASE2B" "None"
"RPF1" "None"
"GNG5" "None"
"CTBS" "None"
"SSX2IP" "None"
"LPAR3" "None"
"MCOLN2" "None"
"MCOLN3" "None"
"SYDE2" "None"
"C1orf52" "None"
"BCL10" "None"
"RP11-131L23.1" "None"
"DDAH1" "PortHep"
"RP11-131L23.2" "None"
"RP4-621F18.2" "Stellate"
"RP11-290M5.4" "None"
"CYR61" "Stellate"
"ZNHIT6" "None"
"COL24A1" "None"
"ODF2L" "None"
"RP4-612B15.3" "None"
"SH3GLB1" "None"
"SEP15" "None"
"HS2ST1" "None"
"LMO4" "None"
"PKN2-AS1" "None"
"PKN2" "None"
"GTF2B" "None"
"CCBL2" "None"
"RBMXL1" "None"
"GBP3" "None"
"GBP1" "None"
"GBP2" "None"
"GBP7" "PortHep"
"GBP4" "None"
"GBP5" "any_T_cell"
"GBP6" "None"
"LRRC8B" "None"
"FLJ27354" "None"
"LRRC8C" "None"
"RP5-943J3.2" "None"
"LRRC8D" "None"
"ZNF326" "None"
"RP4-665J23.1" "None"
"ZNF644" "None"
"CDC7" "gd_T_2"
"TGFBR3" "LSECs"
"BRDT" "None"
"EPHX4" "None"
"SETSIP" "None"
"BTBD8" "None"
"KIAA1107" "None"
"GLMN" "None"
"RPAP2" "None"
"GFI1" "None"
"EVI5" "None"
"RPL5" "any_B_cell"
"FAM69A" "None"
"MTF2" "any_T_cell"
"TMED5" "PortHep"
"CCDC18" "gd_T_2"
"DR1" "gd_T_2"
"FNBP1L" "None"
"BCAR3" "None"
"RP5-1033H22.2" "None"
"RP4-561L24.3" "None"
"DNTTIP2" "None"
"GCLM" "None"
"ABCA4" "None"
"ARHGAP29" "LSECs"
"ABCD3" "Hep"
"F3" "Stellate"
"SLC44A3" "Cholan"
"CNN3" "None"
"RP4-639F20.1" "None"
"ALG14" "None"
"TMEM56" "Hep"
"TMEM56-RWDD3" "None"
"RP11-57H12.3" "None"
"RWDD3" "None"
"PTBP2" "None"
"DPYD" "None"
"SNX7" "None"
"PALMD" "PeriLSECs"
"FRRS1" "None"
"AGL" "PortHep"
"RP5-884G6.2" "None"
"SLC35A3" "PortHep"
"MFSD14A" "None"
"SASS6" "gd_T_2"
"TRMT13" "None"
"LRRC39" "None"
"DBT" "PortHep"
"RTCA-AS1" "None"
"RTCA" "None"
"CDC14A" "None"
"GPR88" "None"
"VCAM1" "NonInfl_Mac"
"EXTL2" "None"
"RP4-549L20.3" "None"
"SLC30A7" "PortHep"
"DPH5" "None"
"RP11-421L21.2" "None"
"RP11-421L21.3" "None"
"RP4-575N6.4" "None"
"S1PR1" "None"
"RNPC3" "None"
"AMY2B" "None"
"PRMT6" "None"
"NTNG1" "None"
"VAV3" "None"
"VAV3-AS1" "None"
"RP11-356N1.2" "None"
"SLC25A24" "None"
"RP11-483I13.5" "None"
"FAM102B" "None"
"HENMT1" "gd_T_2"
"PRPF38B" "any_T_cell"
"STXBP3" "None"
"RP11-475E11.9" "None"
"GPSM2" "gd_T_2"
"CLCC1" "None"
"WDR47" "None"
"TAF13" "None"
"RP5-1065J22.8" "None"
"TMEM167B" "None"
"SCARNA2" "None"
"KIAA1324" "None"
"SARS" "None"
"CELSR2" "None"
"PSRC1" "gd_T_2"
"SORT1" "None"
"PSMA5" "None"
"SYPL2" "None"
"ATXN7L2" "None"
"CYB561D1" "None"
"AMIGO1" "None"
"GPR61" "None"
"GNAI3" "None"
"AMPD2" "None"
"GSTM4" "PortHep"
"GSTM2" "None"
"GSTM1" "PortHep"
"AC000032.2" "None"
"GSTM5" "Stellate"
"GSTM3" "Stellate"
"EPS8L3" "None"
"CSF1" "None"
